,Actual,Predicted
43772,0,0
39587,0,0
55043,0,0
55042,0,0
34917,0,0
53058,0,0
26815,8,8
35315,0,0
4041,1,1
77864,0,0
5671,2,2
52353,0,0
67269,0,0
13301,2,2
41161,0,0
54647,0,0
24729,7,7
74303,0,0
59129,0,0
46323,0,0
68913,0,0
55302,0,0
25852,8,8
30239,10,10
12417,2,2
23535,6,6
88359,0,0
62105,0,0
71738,0,0
90162,0,0
66675,0,0
26193,8,8
368,1,1
30204,10,10
31200,10,10
34466,0,0
91859,0,0
73158,0,0
68905,0,0
90224,0,0
83172,0,0
46201,0,0
12279,2,2
65278,0,0
2167,1,1
24157,7,7
8723,2,2
81276,0,0
59360,0,0
20538,5,5
71490,0,0
70238,0,0
62025,0,0
13501,2,2
62808,0,0
33799,0,0
91706,0,0
63239,0,0
41558,0,0
8709,2,2
10906,2,2
72830,0,0
41877,0,0
13596,2,2
200,1,1
76232,0,0
39750,0,0
43924,0,0
48065,0,0
83690,0,0
55571,0,0
48114,0,0
3873,1,1
46802,0,0
1573,1,1
65239,0,0
71629,0,0
29259,9,9
16606,4,4
61685,0,0
12479,2,2
71896,0,0
82390,0,0
73009,0,0
83564,0,0
28335,9,9
72412,0,0
86534,0,0
91242,0,0
13445,2,2
52321,0,0
81130,0,0
48677,0,0
18481,4,4
87798,0,0
43914,0,0
88554,0,0
31843,10,10
37274,0,0
3678,1,1
64286,0,0
75854,0,0
62336,0,0
19829,5,5
24822,7,7
34454,0,0
55216,0,0
76364,0,0
17941,4,4
62776,0,0
53489,0,0
85018,0,0
57990,0,0
889,1,1
212,1,1
90342,0,0
60171,0,0
52638,0,0
73200,0,0
71242,0,0
73751,0,0
43500,0,0
48386,0,0
59761,0,0
56139,0,0
47921,0,0
89712,0,0
50123,0,0
90727,0,0
10399,2,2
10792,2,2
72205,0,0
3020,1,1
3599,1,1
11684,2,2
29424,10,10
3441,1,1
90521,0,0
24376,7,7
86842,0,0
79937,0,0
79965,0,0
43522,0,0
15157,4,4
81185,0,0
68755,0,0
87130,0,0
24629,7,7
89498,0,0
31680,10,10
16141,4,4
39071,0,0
37555,0,0
57735,0,0
7380,2,2
37867,0,0
78272,0,0
16504,4,4
59542,0,0
46169,0,0
49925,0,0
9632,2,2
64518,0,0
40973,0,0
19037,5,5
79186,0,0
64586,0,0
32106,10,10
26794,8,8
70942,0,0
38366,0,0
42311,0,0
24852,7,7
25045,7,7
13029,2,2
42391,0,0
37962,0,0
32172,10,10
2794,1,1
87332,0,0
42828,0,0
44140,0,0
40410,0,0
78571,0,0
26260,8,8
88687,0,0
46277,0,0
62231,0,0
55037,0,0
25456,8,8
2837,1,1
14419,3,3
49949,0,0
70838,0,0
57973,0,0
24420,7,7
30323,10,10
51809,0,0
58222,0,0
69555,0,0
14403,3,3
2780,1,1
57501,0,0
83105,0,0
49025,0,0
33842,0,0
77236,0,0
41394,0,0
2956,1,1
65306,0,0
10267,2,2
20815,5,5
24325,7,7
43198,0,0
57450,0,0
83618,0,0
25837,8,8
24392,7,7
3896,1,1
10345,2,2
26535,8,8
70472,0,0
58250,0,0
54929,0,0
68748,0,0
32601,10,10
1680,1,1
27195,8,8
85488,0,0
35966,0,0
63743,0,0
19767,5,5
50187,0,0
2371,1,1
54830,0,0
74361,0,0
9178,2,2
44067,0,0
61517,0,0
35677,0,0
33855,0,0
54626,0,0
6471,2,2
18684,4,4
47100,0,0
52477,0,0
39787,0,0
40838,0,0
49211,0,0
54804,0,0
60905,0,0
19760,5,5
74072,0,0
19327,5,5
54396,0,0
85672,0,0
18348,4,4
64075,0,0
19728,5,5
252,1,1
20806,5,5
24267,7,7
2392,1,1
37084,0,0
22411,6,5
37621,0,0
35071,0,0
67150,0,0
39624,0,0
89797,0,0
58782,0,0
49281,0,0
39409,0,0
36063,0,0
8405,2,2
82891,0,0
78336,0,0
87442,0,0
28462,9,9
59848,0,0
64698,0,0
87422,0,0
19331,5,5
81516,0,0
20003,5,5
76807,0,0
12899,2,2
78590,0,0
53863,0,0
52588,0,0
73250,0,0
24669,7,7
8599,2,2
76386,0,0
66111,0,0
71169,0,0
40131,0,0
7813,2,2
8058,2,2
27834,8,8
68829,0,0
59644,0,0
23163,6,6
29482,10,10
70751,0,0
30219,10,10
19816,5,5
16689,4,4
11038,2,2
11927,2,2
75994,0,0
88775,0,0
74395,0,0
78713,0,0
72109,0,0
92993,0,0
78411,0,0
1887,1,1
70772,0,0
46977,0,0
642,1,1
30760,10,10
3906,1,1
55879,0,0
68812,0,0
68208,0,0
35234,0,0
17911,4,4
77443,0,0
50110,0,0
73259,0,0
36445,0,0
47647,0,0
559,1,1
58801,0,0
59387,0,0
73344,0,0
38152,0,0
56126,0,0
53376,0,0
42763,0,0
67833,0,0
37928,0,0
52590,0,0
44174,0,0
93014,0,0
72182,0,0
18307,4,4
24003,6,6
59232,0,0
82037,0,0
21371,5,5
5827,2,2
37792,0,0
51773,0,0
28837,9,9
91852,0,0
76243,0,0
85950,0,0
71487,0,0
42324,0,0
64717,0,0
87852,0,0
78268,0,0
52393,0,0
2150,1,1
61372,0,0
10508,2,2
50580,0,0
81874,0,0
65223,0,0
69600,0,0
54270,0,0
14504,3,3
23916,6,6
39996,0,0
37391,0,0
47752,0,0
10115,2,2
14548,3,3
64804,0,0
83830,0,0
57218,0,0
53907,0,0
36900,0,0
76069,0,0
65830,0,0
22641,6,5
7072,2,2
50266,0,0
32862,10,10
90075,0,0
17602,4,4
21879,6,5
44854,0,0
48942,0,0
38449,0,0
57131,0,0
52275,0,0
78657,0,0
39574,0,0
35631,0,0
30291,10,10
87002,0,0
61700,0,0
39881,0,0
87074,0,0
80754,0,0
84744,0,0
40903,0,0
12757,2,2
30448,10,10
14179,3,3
74555,0,0
34008,0,0
53423,0,0
25810,8,8
4785,2,2
51254,0,0
68135,0,0
58457,0,0
53250,0,0
59313,0,0
20851,5,5
82810,0,0
23172,6,6
57831,0,0
61094,0,0
18530,4,4
23185,6,6
7660,2,2
80395,0,0
11544,2,2
9490,2,2
39356,0,0
20832,5,5
61552,0,0
1164,1,1
1487,1,1
30754,10,10
53714,0,0
61975,0,0
12719,2,2
2877,1,1
3308,1,1
75195,0,0
23508,6,6
57389,0,0
12541,2,2
20791,5,5
64004,0,0
79038,0,0
31621,10,10
87829,0,0
66539,0,0
80589,0,0
24981,7,7
83065,0,0
25624,8,8
86093,0,0
67951,0,0
42302,0,0
3444,1,1
76413,0,0
83735,0,0
86728,0,0
4231,1,1
50632,0,0
34830,0,0
46654,0,0
8271,2,2
31437,10,10
88976,0,0
19645,5,5
53124,0,0
15516,4,4
27100,8,8
71189,0,0
17382,4,4
11876,2,2
48562,0,0
51105,0,0
39709,0,0
4369,1,1
45842,0,0
72889,0,0
25419,8,8
79491,0,0
7681,2,2
80434,0,0
53718,0,0
14303,3,3
53285,0,0
69420,0,0
35012,0,0
73102,0,0
48910,0,0
59621,0,0
56923,0,0
